Altium Designer Pick and Place Locations
C:\Users\patri\OneDrive\Public\EEE30005\Integrated Equipment\PCB_Project\Project Outputs for 190822 Integrated DED Equipment\Pick Place for 191015 PCB.csv

========================================================================================================================
File Design Information:

Date:       16/10/19
Time:       21:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R76","100R","TopLayer","0805","245.2238","122.0120","270",""
"R75","100R","TopLayer","0805","240.1524","122.0120","270",""
"R74","100R","TopLayer","0805","235.0809","122.0120","270",""
"R73","100R","TopLayer","0805","230.0095","122.0120","270",""
"R72","100R","TopLayer","0805","224.9381","122.0120","270",""
"R70","100R","TopLayer","0805","219.8667","122.0120","270",""
"R69","100R","TopLayer","0805","214.7952","122.0120","270",""
"R21","100R","TopLayer","0805","209.7238","122.0120","270",""
"K16","SS0823","TopLayer","Jaycar_2.54_SPDT_Slide","190.9750","107.7750","180","SPDT Switch"
"U4","RS3236-3.3","TopLayer","Runic_SOT-23-5","191.7450","117.0000","270","Low Power, Low Dropout, 500mA RF LinearRegulators"
"R71","1k","TopLayer","0805","189.0250","104.8000","360",""
"C9","10nF","TopLayer","0805","196.3750","116.0150","180",""
"C7","1uF","TopLayer","0805","190.5138","120.9120","270",""
"C8","1uF","TopLayer","0805","193.0650","120.8750","270",""
"U3","SSD1306","TopLayer","IIC_128x32_OLED","173.1920","196.6076","360","AU 0.91" IIC I2C OLED LCD Display Module 128x32 for Arduino PIC SSD1306 3.3V~5V"
"R68","1k","TopLayer","0805","207.2561","187.3882","90",""
"R67","330R","TopLayer","0805","202.3750","187.4000","90",""
"D45","LED","TopLayer","0805_LED","204.8262","187.3880","90","Red LED Indication - Discrete 1.75V 0805 (2012 Metric)"
